item,quantity,likely source if from another car,needs mechanic checked,expected price,image to show,purchase stage,what to verify,all image refs,source row,existing one ok? (analysis)
Kit A bolt - M10x1.25 class 8.8 hex bolt,16 (+20% spare),New hardware/electrical market (not donor car),Optional (sample-check),PKR 1400-2800,images/20260405_234546.jpg,BUY_NOW,"Head mark 8.8, pitch-gauge check, length by sample",20260405_234546.jpg;20260405_234802.jpg,244,No. Use new hardware only; old mixed bolts/nuts are not reliable for final assembly.
Kit A nut - M10 nyloc/all-metal mix,24 (+20% spare),New hardware/electrical market (not donor car),Optional (sample-check),PKR 1200-2400,images/20260405_234546.jpg,BUY_NOW,Thread fit and lock quality,20260405_234546.jpg,244,No. Use new hardware only; old mixed bolts/nuts are not reliable for final assembly.
Kit A washer - M10 flat washer,40 (+20% spare),New hardware/electrical market (not donor car),Optional (sample-check),PKR 400-900,images/20260405_234546.jpg,BUY_NOW,ID/OD match cups and bolt,20260405_234546.jpg,244,No. Use new hardware only; old mixed bolts/nuts are not reliable for final assembly.
Kit A spring washer - M10 spring washer,20 (+20% spare),New hardware/electrical market (not donor car),Optional (sample-check),PKR 300-650,images/20260405_234546.jpg,BUY_NOW,"No cracks, consistent spring",20260405_234546.jpg,244,No. Use new hardware only; old mixed bolts/nuts are not reliable for final assembly.
Kit A sleeve/spacer - Sleeve for M10 mount points,16,New hardware/electrical market (not donor car),Optional (sample-check),PKR 1200-3200,images/20260405_234652.jpg,BUY_NOW,ID/OD/length match stack,20260405_234652.jpg,244,No. Use new hardware only; old mixed bolts/nuts are not reliable for final assembly.
Kit A bolt - M12 class 8.8 hex bolt,4 (+20% spare),New hardware/electrical market (not donor car),Optional (sample-check),PKR 600-1400,images/20260405_234802.jpg,BUY_NOW,"Head mark 8.8, length by sample",20260405_234802.jpg,244,No. Use new hardware only; old mixed bolts/nuts are not reliable for final assembly.
Kit A nut - M12 nut,6 (+20% spare),New hardware/electrical market (not donor car),Optional (sample-check),PKR 500-1100,images/20260405_234802.jpg,BUY_NOW,"Thread clean, pitch match",20260405_234802.jpg,244,No. Use new hardware only; old mixed bolts/nuts are not reliable for final assembly.
Kit A washer - M12 flat washer,12 (+20% spare),New hardware/electrical market (not donor car),Optional (sample-check),PKR 200-500,images/20260405_234802.jpg,BUY_NOW,ID/OD match,20260405_234802.jpg,244,No. Use new hardware only; old mixed bolts/nuts are not reliable for final assembly.
Kit A spring washer - M12 spring washer,6 (+20% spare),New hardware/electrical market (not donor car),Optional (sample-check),PKR 150-350,images/20260405_234802.jpg,BUY_NOW,Consistent tension,20260405_234802.jpg,244,No. Use new hardware only; old mixed bolts/nuts are not reliable for final assembly.
Kit B bolt - M6x1.0 class 8.8 hex bolts lengths 12/16/20/25mm,220 total,New hardware/electrical market (not donor car),Optional (sample-check),PKR 6000-13000,images/20260405_234546.jpg,BUY_NOW,Confirm mix by length,20260405_234546.jpg,245,No. Use new hardware only; old mixed bolts/nuts are not reliable for final assembly.
Kit B nuts - M6 nyloc,160,New hardware/electrical market (not donor car),Optional (sample-check),PKR 3200-6400,images/20260405_234546.jpg,BUY_NOW,Nylon insert quality,20260405_234546.jpg,245,No. Use new hardware only; old mixed bolts/nuts are not reliable for final assembly.
Kit B nuts - M6 flange nuts,80,New hardware/electrical market (not donor car),Optional (sample-check),PKR 1200-2800,images/20260405_234546.jpg,BUY_NOW,Flange face true,20260405_234546.jpg,245,No. Use new hardware only; old mixed bolts/nuts are not reliable for final assembly.
Kit B washers - M6 flat washers,300,New hardware/electrical market (not donor car),Optional (sample-check),PKR 900-2400,images/20260405_234546.jpg,BUY_NOW,Consistent thickness,20260405_234546.jpg,245,No. Use new hardware only; old mixed bolts/nuts are not reliable for final assembly.
Kit B spring washers - M6 spring washers,140,New hardware/electrical market (not donor car),Optional (sample-check),PKR 600-1700,images/20260405_234546.jpg,BUY_NOW,No cracks,20260405_234546.jpg,245,No. Use new hardware only; old mixed bolts/nuts are not reliable for final assembly.
Kit B bolt - M8x1.25 class 8.8 bolts lengths 16/20/25/30mm,120 total,New hardware/electrical market (not donor car),Optional (sample-check),PKR 4800-10800,images/20260405_234546.jpg,BUY_NOW,Confirm mix by length,20260405_234546.jpg,245,No. Use new hardware only; old mixed bolts/nuts are not reliable for final assembly.
Kit B nuts - M8 nyloc,90,New hardware/electrical market (not donor car),Optional (sample-check),PKR 2700-6300,images/20260405_234546.jpg,BUY_NOW,Nylon insert quality,20260405_234546.jpg,245,No. Use new hardware only; old mixed bolts/nuts are not reliable for final assembly.
Kit B nuts - M8 flange nuts,40,New hardware/electrical market (not donor car),Optional (sample-check),PKR 1000-2200,images/20260405_234546.jpg,BUY_NOW,Flange face true,20260405_234546.jpg,245,No. Use new hardware only; old mixed bolts/nuts are not reliable for final assembly.
Kit B washers - M8 flat washers,180,New hardware/electrical market (not donor car),Optional (sample-check),PKR 900-2500,images/20260405_234546.jpg,BUY_NOW,Consistent thickness,20260405_234546.jpg,245,No. Use new hardware only; old mixed bolts/nuts are not reliable for final assembly.
Kit B spring washers - M8 spring washers,90,New hardware/electrical market (not donor car),Optional (sample-check),PKR 600-1600,images/20260405_234546.jpg,BUY_NOW,No cracks,20260405_234546.jpg,245,No. Use new hardware only; old mixed bolts/nuts are not reliable for final assembly.
Kit C captive nut - M6 captive/clip nuts,120,New hardware/electrical market (not donor car),Optional (sample-check),PKR 1800-4200,images/20260405_234546.jpg,BUY_NOW,Plating + thread quality,20260405_234546.jpg,246,No. Use new hardware only; old mixed bolts/nuts are not reliable for final assembly.
Kit C captive nut - M8 captive/clip nuts,60,New hardware/electrical market (not donor car),Optional (sample-check),PKR 1500-3300,images/20260405_234546.jpg,BUY_NOW,Plating + thread quality,20260405_234546.jpg,246,No. Use new hardware only; old mixed bolts/nuts are not reliable for final assembly.
Kit C weld nut - M6 weld nuts,30,New hardware/electrical market (not donor car),Optional (sample-check),PKR 600-1500,images/20260405_234546.jpg,BUY_NOW,Thread quality,20260405_234546.jpg,246,No. Use new hardware only; old mixed bolts/nuts are not reliable for final assembly.
Kit C weld nut - M8 weld nuts,20,New hardware/electrical market (not donor car),Optional (sample-check),PKR 700-1600,images/20260405_234546.jpg,BUY_NOW,Thread quality,20260405_234546.jpg,246,No. Use new hardware only; old mixed bolts/nuts are not reliable for final assembly.
Kit C rivnut - M6 steel rivnuts,30,New hardware/electrical market (not donor car),Optional (sample-check),PKR 900-2100,images/20260405_234546.jpg,BUY_NOW,Wall/knurl quality,20260405_234546.jpg,246,No. Use new hardware only; old mixed bolts/nuts are not reliable for final assembly.
Kit C rivnut - M8 steel rivnuts,20,New hardware/electrical market (not donor car),Optional (sample-check),PKR 900-2200,images/20260405_234546.jpg,BUY_NOW,Wall/knurl quality,20260405_234546.jpg,246,No. Use new hardware only; old mixed bolts/nuts are not reliable for final assembly.
Kit D star washer - M6 star/serrated washer,120,New hardware/electrical market (not donor car),Optional (sample-check),PKR 700-1800,images/20260411_065030.jpg,BUY_NOW,Sharp serrations,20260411_065030.jpg,247,No. Use new hardware only; old mixed bolts/nuts are not reliable for final assembly.
Kit D star washer - M8 star/serrated washer,80,New hardware/electrical market (not donor car),Optional (sample-check),PKR 800-2200,images/20260411_065030.jpg,BUY_NOW,Sharp serrations,20260411_065030.jpg,247,No. Use new hardware only; old mixed bolts/nuts are not reliable for final assembly.
Kit D star washer - M10 star/serrated washer,40,New hardware/electrical market (not donor car),Optional (sample-check),PKR 700-1700,images/20260411_065030.jpg,BUY_NOW,Sharp serrations,20260411_065030.jpg,247,No. Use new hardware only; old mixed bolts/nuts are not reliable for final assembly.
Kit D flange nut - M6 serrated flange nut,40,New hardware/electrical market (not donor car),Optional (sample-check),PKR 800-1800,images/20260411_065030.jpg,BUY_NOW,Serrations intact,20260411_065030.jpg,247,No. Use new hardware only; old mixed bolts/nuts are not reliable for final assembly.
Kit D flange nut - M8 serrated flange nut,20,New hardware/electrical market (not donor car),Optional (sample-check),PKR 700-1500,images/20260411_065030.jpg,BUY_NOW,Serrations intact,20260411_065030.jpg,247,No. Use new hardware only; old mixed bolts/nuts are not reliable for final assembly.
Kit D paste - Conductive anti-corrosion paste,1 tube,New hardware/electrical market (not donor car),Optional (sample-check),PKR 1200-3500,images/20260411_065030.jpg,BUY_NOW,Electrical-ground suitable,20260411_065030.jpg,247,No. Use new hardware only; old mixed bolts/nuts are not reliable for final assembly.
Body mount rubber - OEM-style body mount insulator set,Full set,New replacement market (not used donor),Yes,PKR 15000-60000,images/20260405_234546.jpg,BUY_NOW,Match sleeve ID/OD/length + stack,20260405_234546.jpg;20260405_234652.jpg,12,Maybe. Reuse only if old rubbers are not crushed/cracked and stack height matches; usually replace.
Shims/spacers - M10/M12 shim pack thickness 1/2/3/5mm,Assorted full pack,New replacement market (not used donor),Yes,PKR 3000-12000,images/20260405_234652.jpg,BUY_NOW,Use for tub leveling,20260405_234652.jpg,13,"Yes (partly). Existing shims can be reused if flat/rust-free, but buy a fresh assortment for alignment."
Ignition barrel - Matched key ignition lock set or re-key service,1 set,Toyota donor lock set + locksmith service OR new lock set,Yes,PKR 4000-25000,images/20260323_180218.jpg,BUY_NOW,"ACC/IGN/START smooth, minimal play",20260323_180218.jpg;20260323_190047.jpg,41,No as-is. Existing lock has poor security; re-key/service or replace.
"EPS kit - Complete EPS column kit with ECU, shafts, U-joints, couplers, brackets, connectors",1 complete kit,Toyota Vitz/Yaris 2005-2011 SCP90/NCP90 EPS column set (Bilal Ganj),Yes,PKR 54000-136000,images/20260321_235600.jpg,BUY_NOW,Bench-test smooth assist; no lash/noise; pigtails >=150mm,20260321_235600.jpg;20260406_031010.jpg,229,N/A upgrade choice. Existing steering can stay if skipping EPS; EPS is optional improvement.
Heat plugs / glow plugs - Diesel glow plug set (thread/reach/voltage per engine code),Full set,New parts market only (no used donor plugs),Yes,PKR 12000-36000,images/20260317_235150.jpg,BUY_IF_ENGINE_CODE_MATCH,New only; no used/refurbished plugs,20260317_235150.jpg,29,No. Glow/heat plugs should be new only.
"Local front leaf spring pack (new fabricated) - measure eye-eye, width, arch, center pin, bush ID, eye width",2 packs,Local spring fabricator / suspension shop (not donor),Yes,PKR 35000-90000,images/20260324_004852.jpg,MEASURE_THEN_BUY,Buy only after measured fit confirmation,20260324_004852.jpg;20260411_220207.jpg,15,"Maybe. Keep existing only if no cracks, no sag, and bush eyes are within tolerance after mechanic inspection."
"Local rear leaf spring pack (new fabricated) - measure eye-eye, width, arch, center pin, bush ID, eye width",2 packs,Local spring fabricator / suspension shop (not donor),Yes,PKR 35000-90000,images/20260324_004852.jpg,MEASURE_THEN_BUY,Buy only after measured fit confirmation,20260324_004852.jpg;20260411_220214.jpg,16,"Maybe. Keep existing only if no cracks, no inversion risk, and ride height is acceptable after load check."
OME/EMU front shock pair - OME-60097 x2,2 shocks (1 front pair),OME/EMU importer or off-road parts supplier (new genuine preferred),Yes,PKR 55000-110000,images/20260324_004852.jpg,QUOTE_ONLY,"Part number stamping OME-60097, eye/bush size, compressed/extended length, genuine packaging",20260324_004852.jpg;20260411_220207.jpg,33-A,N/A optional upgrade. Existing suspension can be retained if serviceable and ride goals are acceptable.
OME/EMU rear shock pair - OME-63064 x2,2 shocks (1 rear pair),OME/EMU importer or off-road parts supplier (new genuine preferred),Yes,PKR 55000-110000,images/20260324_004852.jpg,QUOTE_ONLY,"Part number stamping OME-63064, eye/bush size, compressed/extended length, genuine packaging",20260324_004852.jpg;20260411_220207.jpg,33-B,N/A optional upgrade. Existing suspension can be retained if serviceable and ride goals are acceptable.
"OME greasable shackle front (grease-injection pin type) - OMEGS8 (front, pre-1980/15mm pin note)",1 kit,OME/EMU importer or off-road parts supplier (new genuine preferred),Yes,PKR 25000-60000,images/20260411_220207.jpg,QUOTE_ONLY,Confirm pin dia and compatibility; verify grease channel and zerk ports are present,20260411_220207.jpg,44,N/A optional upgrade. Existing shackles can stay if not worn; greasable set improves serviceability.
OME greasable shackle rear (grease-injection pin type) - OMEGS9 (rear),1 kit,OME/EMU importer or off-road parts supplier (new genuine preferred),Yes,PKR 25000-65000,images/20260411_220214.jpg,QUOTE_ONLY,Confirm pin dia and compatibility; verify grease channel and zerk ports are present,20260411_220214.jpg,45,N/A optional upgrade. Existing shackles can stay if play is acceptable; greasable set improves serviceability.
OME bush kit - OMESB30,4 kits,OME/EMU importer or off-road parts supplier (new genuine preferred),Yes,PKR 28000-60000,images/20260324_004852.jpg,QUOTE_ONLY,Confirm bush count per spring-eye set,20260324_004852.jpg,46,N/A optional upgrade. Existing suspension can be retained if serviceable and ride goals are acceptable.
OME U-bolt kit - OMEU59A,7 kits,OME/EMU importer or off-road parts supplier (new genuine preferred),Yes,PKR 42000-98000,images/20260411_220207.jpg,QUOTE_ONLY,"Confirm rod dia, width, leg length, pitch",20260411_220207.jpg,47,N/A optional upgrade. Existing suspension can be retained if serviceable and ride goals are acceptable.
Steering bushings - Steering linkage bush set,1 set,New hardware/electrical market (not donor car),Yes,PKR 3000-12000,images/20260406_031010.jpg,QUOTE_ONLY,Condition-based quote,20260406_031010.jpg,230,"Maybe. Replace only if measurable play, cracking, or steering looseness persists after service."
Wire rework - Split overlength heavy feed wire into 3 serviceable segments,3 segments,Electrical workshop service (rework existing wires),Yes,PKR 3000-12000 (labor + lugs/heat-shrink re-termination),images/20260411_065030.jpg,WORKSHOP_TASK,Cut+terminate+heat-shrink+continuity/voltage-drop test,20260411_065030.jpg;20260321_235600.jpg,Electrical_Master,Yes. Rework existing overlength cable by cutting into 3 segments and re-terminating.
"Electrical tape (automotive PVC, 19mm x 18-20m)",10 rolls,New electrical market (not donor car),No,PKR 1500-4500,images/20260411_065030.jpg,BUY_NOW,"Good adhesive and heat tolerance, not brittle PVC",20260411_065030.jpg,SUB-17,N/A consumable item; buy new.
Cloth harness loom tape (Tesa-style),5 rolls,New electrical market (not donor car),No,PKR 2500-9000,images/20260411_065030.jpg,BUY_NOW,Automotive-grade cloth tape; abrasion and heat resistance,20260411_065030.jpg,SUB-23,N/A consumable item; buy new.
Firewall grommet assortment,1 kit,New electrical market (not donor car),Yes,PKR 2000-7000,images/20260411_143135.jpg,BUY_NOW,Hole ID/OD fit and thickness for firewall panels,20260411_143135.jpg,SUB-11,N/A consumable item; buy new.
EPS non-target quote only - Toyota Prius column assist set (not for purchase),1 complete kit,Toyota donor car (Bilal Ganj),Yes,PKR 60000-150000,images/20260321_235600.jpg,QUOTE_ONLY,"Motor smooth assist, ECU + shafts + U-joints + couplers + brackets + pigtails included",20260321_235600.jpg;20260406_031010.jpg,229-C1,Use EPS checklist. Buy only 2005-2011 SCP90/NCP90 Vitz/Yaris; non-target Prius/Corolla/Axio quote/photo only unless explicitly approved.
EPS non-target quote only - Toyota Corolla/Axio column assist set (not for purchase),1 complete kit,Toyota donor car (Bilal Ganj),Yes,PKR 55000-140000,images/20260321_235600.jpg,QUOTE_ONLY,"No lash/noise, compatible column length, complete ECU/connectors/shafts",20260321_235600.jpg;20260406_031010.jpg,229-C2,Use EPS checklist. Buy only 2005-2011 SCP90/NCP90 Vitz/Yaris; non-target Prius/Corolla/Axio quote/photo only unless explicitly approved.
EPS donor target - Toyota Vitz/Yaris 2005-2011 SCP90/NCP90 column assist set (complete kit),1 complete kit,Toyota donor car (Bilal Ganj),Yes,PKR 50000-130000,images/20260321_235600.jpg,QUOTE_ONLY,Confirm 2005-2011 SCP90/NCP90 donor label; column mount and spline compatibility; complete wiring pigtails and couplers,20260321_235600.jpg;20260406_031010.jpg,229-C3,Use EPS checklist. Buy only 2005-2011 SCP90/NCP90 Vitz/Yaris; non-target Prius/Corolla/Axio quote/photo only unless explicitly approved.
Grease-injection fittings kit (zerk nipples + dust caps) for greasable shackles,1 kit (8-12 nipples + caps),New suspension hardware shop (not donor),Yes,PKR 1000-4500,images/20260411_220207.jpg,QUOTE_ONLY,"Thread pitch fit on shackle pins, grease gun coupler fit, no damaged threads",20260411_220207.jpg;20260411_220214.jpg,44/45-SUP,"Maybe. If shackle kit includes good nipples/caps, separate buy not needed."
Rear anti-inversion kit - FK08 (spring flip prevention),1 kit,OME/EMU supplier or suspension fabricator,Yes,PKR 12000-35000,images/20260411_220214.jpg,QUOTE_ONLY,Bracket geometry for your rear spring setup and axle travel clearance,20260411_220214.jpg,SUS-10,"Maybe. If current rear springs show no inversion tendency, can defer this item."
