Item,Price,Vendor,Received,Paid,Plan_Timing,Plan_Decision,Inventory_Group,Restore_Replace,Build_State,Reconciled_Status,Reconciled_Note,Procured_Mark,Estimate_Range_PKR,Estimate_Avg_PKR,Estimate_Priority,Estimate_Source,Source_Tab,Source_Row,Inventory_ID,Purchase_Priority,Priority_Order,Priority_Basis,New_vs_Refresh_Decision,Photo_Evidence_Level,Photo_Evidence_Basis,Decision_Confidence,Lead_Time_Risk,Sourcing_Region
Dielectric Grease,11529,adenwalla.net,,,post_baseline_only,no_additional_buy_duplicate_entry,consumable_material,inspect_then_decide,procured_or_on_hand,procured_or_on_hand,Duplicate?  Needed? | Open item with no procurement evidence yet. | Migrated from Substances row 3 into Parts inventory. | Reconciled 2026-04-15: duplicate of procured Dielectric Grease line; no additional purchase required.,,,,,,Substances,3,INV-0123,Done / On hand,0,Duplicate resolved against procured Dielectric Grease line,INSPECT_THEN_DECIDE,medium,"photo_group=body_floor; group_photo_count=15; spot_checked=20260410_013927,20260411_065030,20260324_004852,20260323_210944,20260408_211754,20260413_005435,20260405_234652,20260321_235600,20260317_235150",medium,low,local_pk_or_on_hand
doors,existing,,Y,,body_and_weather_seal,refurbish_send_out,existing_component,restore_and_reuse,completed_refresh,reuse_existing,RR action=confirm_vendor_scope_and_return_condition; evidence=fj40-00229|akber_khan-00568|akber_khan-00705|akber_khan-00796 | Doors repainted; reuse existing unless hidden damage appears at final fit-up.,✓,,,,,Restore_Replace,3,INV-0140,Done / On hand,0,manual_bodywork_update_2026_04_15,REFRESH_EXISTING,medium,"photo_group=removable_panels; group_photo_count=13; spot_checked=20260410_013927,20260411_065030,20260324_004852,20260323_210944,20260408_211754,20260413_005435,20260405_234652,20260321_235600,20260317_235150",high,low,local_pk_or_on_hand
electrical_accessories,existing,,Y,,electrical,remove_nonbaseline_and_refit_clean,existing_component,restore_and_reuse,existing_reuse,reuse_existing,RR action=finish_deletion_of_old_accessory_wiring; evidence=fj40-00251,✓,,,,,Restore_Replace,10,INV-0147,Done / On hand,0,status,REFRESH_EXISTING,high,"photo_group=electrical_system; group_photo_count=52; spot_checked=20260410_013927,20260411_065030,20260324_004852,20260323_210944,20260408_211754,20260413_005435,20260405_234652,20260321_235600,20260317_235150",high,low,local_pk_or_on_hand
Engine-specific compressor bracket and belt solution,re-use,,,,,,existing_component,restore_and_reuse,existing_reuse,reuse_existing,"Marked for re-use, not replacement purchase.",✓,15000-50000,40000,High,Fabricator,Parts,9,INV-0008,Done / On hand,0,status,REFRESH_EXISTING,medium,"photo_group=engine_bay; group_photo_count=10; spot_checked=20260410_013927,20260411_065030,20260324_004852,20260323_210944,20260408_211754,20260413_005435,20260405_234652,20260321_235600,20260317_235150",high,low,local_pk_or_on_hand
Grommet Set,18600,starshop.pk,,9200 COD,post_baseline_only,defer_as_non_baseline,replacement_part,deferred_decision,procured_or_on_hand,procured_or_on_hand,Evidence indicates purchased/received. | Migrated from Wiring row 3 into Parts inventory. | RR action=No supplier action now.; evidence=Entry is already explicitly deferred or duplicate against selected baseline.,,,,,,Wiring,3,INV-0066,Done / On hand,0,procurement_pass2,DEFER_DECISION,high,"photo_group=electrical_system; group_photo_count=52; spot_checked=20260410_013927,20260411_065030,20260324_004852,20260323_210944,20260408_211754,20260413_005435,20260405_234652,20260321_235600,20260317_235150",medium,low,local_pk_or_on_hand
H4 Ceramic Headlight Connector,1350,Auto Xpert,Y,Y,,,wiring_material,replace_or_procure,procured_or_on_hand,procured_or_on_hand,Evidence indicates purchased/received. | Migrated from Wiring row 51 into Parts inventory.,,,,,,Wiring,51,INV-0093,Done / On hand,0,procurement_pass2,BUY_NEW,high,"photo_group=electrical_system; group_photo_count=52; spot_checked=20260410_013927,20260411_065030,20260324_004852,20260323_210944,20260408_211754,20260413_005435,20260405_234652,20260321_235600,20260317_235150",high,low,local_pk_or_on_hand
heat shrink tubing (various sizes) x 2,4200,IndustryParts.pk,Y,Y,,,wiring_material,replace_or_procure,procured_or_on_hand,procured_or_on_hand,Evidence indicates purchased/received. | Migrated from Wiring row 10 into Parts inventory.,,,,,,Wiring,10,INV-0073,Done / On hand,0,status,BUY_NEW,high,"photo_group=electrical_system; group_photo_count=52; spot_checked=20260410_013927,20260411_065030,20260324_004852,20260323_210944,20260408_211754,20260413_005435,20260405_234652,20260321_235600,20260317_235150",high,low,local_pk_or_on_hand
hood,existing,,Y,,body_and_weather_seal,refurbish_send_out,existing_component,restore_and_reuse,planned_refresh,reuse_existing,RR action=confirm_vendor_scope_and_return_condition; evidence=akber_khan-00796 | Retain refresh path; buy only if post-weld/post-paint inspection finds non-repairable damage.,✓,1000-5000,5000,Low,Local rubber supplier,Restore_Replace,5,INV-0142,P5 - Later phase,5,manual_bodywork_update_2026_04_15,REFRESH_EXISTING,medium,"photo_group=body_exterior; group_photo_count=6; spot_checked=20260410_013927,20260411_065030,20260324_004852,20260323_210944,20260408_211754,20260413_005435,20260405_234652,20260321_235600,20260317_235150",high,low,local_pk_or_on_hand
https://uni-core.pk/product/cables-wires/flexible-cables/2-5mmsq-flexible-cable/ - blue,9080,uni-core.pk,Y,Y,,,wiring_material,replace_or_procure,procured_or_on_hand,procured_or_on_hand,Evidence indicates purchased/received. | Migrated from Wiring row 72 into Parts inventory.,,,,,,Wiring,72,INV-0102,Done / On hand,0,status,BUY_NEW,high,"photo_group=electrical_system; group_photo_count=52; spot_checked=20260410_013927,20260411_065030,20260324_004852,20260323_210944,20260408_211754,20260413_005435,20260405_234652,20260321_235600,20260317_235150",high,low,local_pk_or_on_hand
https://uni-core.pk/product/flexible-cables/1-5mmsq-flexible-cable/ - yellow,5770,uni-core.pk,Y,Y,,,wiring_material,replace_or_procure,procured_or_on_hand,procured_or_on_hand,Evidence indicates purchased/received. | Migrated from Wiring row 73 into Parts inventory.,,,,,,Wiring,73,INV-0103,Done / On hand,0,status,BUY_NEW,high,"photo_group=electrical_system; group_photo_count=52; spot_checked=20260410_013927,20260411_065030,20260324_004852,20260323_210944,20260408_211754,20260413_005435,20260405_234652,20260321_235600,20260317_235150",high,low,local_pk_or_on_hand
https://uni-core.pk/product/flexible-cables/1mmsq-flexible-cable/ - white,4430,uni-core.pk,Y,Y,,,wiring_material,replace_or_procure,procured_or_on_hand,procured_or_on_hand,Evidence indicates purchased/received. | Migrated from Wiring row 74 into Parts inventory.,,,,,,Wiring,74,INV-0104,Done / On hand,0,status,BUY_NEW,high,"photo_group=electrical_system; group_photo_count=52; spot_checked=20260410_013927,20260411_065030,20260324_004852,20260323_210944,20260408_211754,20260413_005435,20260405_234652,20260321_235600,20260317_235150",high,low,local_pk_or_on_hand
Insulated Thimbles female lug 2.5mm Blue in Pakistan × 1,450,fiaz.com.pk,Y,Y,,,wiring_material,replace_or_procure,procured_or_on_hand,procured_or_on_hand,Evidence indicates purchased/received. | Migrated from Wiring row 49 into Parts inventory.,,,,,,Wiring,49,INV-0091,Done / On hand,0,status,BUY_NEW,high,"photo_group=electrical_system; group_photo_count=52; spot_checked=20260410_013927,20260411_065030,20260324_004852,20260323_210944,20260408_211754,20260413_005435,20260405_234652,20260321_235600,20260317_235150",high,low,local_pk_or_on_hand
Insulated Thimbles Male lug 2.5mm Blue in Pakistan × 1,700,fiaz.com.pk,Y,Y,,,wiring_material,replace_or_procure,procured_or_on_hand,procured_or_on_hand,Evidence indicates purchased/received. | Migrated from Wiring row 48 into Parts inventory.,,,,,,Wiring,48,INV-0090,Done / On hand,0,status,BUY_NEW,high,"photo_group=electrical_system; group_photo_count=52; spot_checked=20260410_013927,20260411_065030,20260324_004852,20260323_210944,20260408_211754,20260413_005435,20260405_234652,20260321_235600,20260317_235150",high,low,local_pk_or_on_hand
interior,existing,,Y,,interior_refit,clean_store_for_reuse,existing_component,restore_and_reuse,existing_reuse,reuse_existing,RR action=complete_tagging_and_damage_check; evidence=akber_khan-00793|akber_khan-00796|akber_khan-00808,✓,,,,,Restore_Replace,9,INV-0146,Done / On hand,0,status,REFRESH_EXISTING,high,"photo_group=interior_cabin; group_photo_count=24; spot_checked=20260410_013927,20260411_065030,20260324_004852,20260323_210944,20260408_211754,20260413_005435,20260405_234652,20260321_235600,20260317_235150",high,low,local_pk_or_on_hand
Lithium Grease + PTFE 400ML × 1,2200,ToolsMart.pk,Y,Y,,,consumable_material,replace_or_procure,procured_or_on_hand,procured_or_on_hand,Evidence indicates purchased/received. | Migrated from Substances row 21 into Parts inventory.,,,,,,Substances,21,INV-0135,Done / On hand,0,status,BUY_NEW,medium,"photo_group=body_floor; group_photo_count=15; spot_checked=20260410_013927,20260411_065030,20260324_004852,20260323_210944,20260408_211754,20260413_005435,20260405_234652,20260321_235600,20260317_235150",high,low,local_pk_or_on_hand
Littelfuse Bolt-down Automotive Fuse MIDI/498 Auto Fuse 30A  x2,3409,AliExpress,Y,Y,,,wiring_material,replace_or_procure,procured_or_on_hand,procured_or_on_hand,Evidence indicates purchased/received. | Migrated from Wiring row 34 into Parts inventory.,,,,,,Wiring,34,INV-0082,Done / On hand,0,status,BUY_NEW,high,"photo_group=electrical_system; group_photo_count=52; spot_checked=20260410_013927,20260411_065030,20260324_004852,20260323_210944,20260408_211754,20260413_005435,20260405_234652,20260321_235600,20260317_235150",high,high,import_cn_or_global
Littelfuse Bolt-down Automotive Fuse MIDI/498 Auto Fuse 50A,,AliExpress,Y,Y,,,wiring_material,replace_or_procure,procured_or_on_hand,procured_or_on_hand,Evidence indicates purchased/received. | Migrated from Wiring row 35 into Parts inventory.,,,,,,Wiring,35,INV-0083,Done / On hand,0,status,BUY_NEW,high,"photo_group=electrical_system; group_photo_count=52; spot_checked=20260410_013927,20260411_065030,20260324_004852,20260323_210944,20260408_211754,20260413_005435,20260405_234652,20260321_235600,20260317_235150",high,high,import_cn_or_global
Littelfuse Bolt-down Automotive Fuse MIDI/498 Auto Fuse 50A,,AliExpress,Y,Y,,,wiring_material,replace_or_procure,procured_or_on_hand,procured_or_on_hand,Evidence indicates purchased/received. | Migrated from Wiring row 36 into Parts inventory.,,,,,,Wiring,36,INV-0084,Done / On hand,0,status,BUY_NEW,high,"photo_group=electrical_system; group_photo_count=52; spot_checked=20260410_013927,20260411_065030,20260324_004852,20260323_210944,20260408_211754,20260413_005435,20260405_234652,20260321_235600,20260317_235150",high,high,import_cn_or_global
Littelfuse Bolt-down Automotive Fuse MIDI/498 Auto Fuse 60A,843,AliExpress,Y,Y,,,wiring_material,replace_or_procure,procured_or_on_hand,procured_or_on_hand,Evidence indicates purchased/received. | Migrated from Wiring row 37 into Parts inventory.,,,,,,Wiring,37,INV-0085,Done / On hand,0,status,BUY_NEW,high,"photo_group=electrical_system; group_photo_count=52; spot_checked=20260410_013927,20260411_065030,20260324_004852,20260323_210944,20260408_211754,20260413_005435,20260405_234652,20260321_235600,20260317_235150",high,high,import_cn_or_global
Loctite 290 – Medium/High Strength Wicking Grade Threadlocker × 1,1520,ToolsMart.pk,Y,Y,,,consumable_material,replace_or_procure,procured_or_on_hand,procured_or_on_hand,Evidence indicates purchased/received. | Migrated from Substances row 20 into Parts inventory.,,3000-10000,8000,Medium,Hardware / tool supplier,Substances,20,INV-0134,Done / On hand,0,status,BUY_NEW,medium,"photo_group=body_floor; group_photo_count=15; spot_checked=20260410_013927,20260411_065030,20260324_004852,20260323_210944,20260408_211754,20260413_005435,20260405_234652,20260321_235600,20260317_235150",high,low,local_pk_or_on_hand
MOMO Carbon Fiber Steering Wheel,8444,pakwheels,Y,Y,,,replacement_part,replace_or_procure,procured_or_on_hand,procured_or_on_hand,Evidence indicates purchased/received.,✓,,,,,Parts,6,INV-0005,Done / On hand,0,status,BUY_NEW,high,"photo_group=chassis_underside; group_photo_count=32; spot_checked=20260410_013927,20260411_065030,20260324_004852,20260323_210944,20260408_211754,20260413_005435,20260405_234652,20260321_235600,20260317_235150",high,low,local_pk_or_on_hand
O-type Blue Insulated Thimble/ Cable Lug 2.5mm × 1,250,fiaz.com.pk,Y,Y,,,wiring_material,replace_or_procure,procured_or_on_hand,procured_or_on_hand,Evidence indicates purchased/received. | Migrated from Wiring row 47 into Parts inventory.,,,,,,Wiring,47,INV-0089,Done / On hand,0,status,BUY_NEW,high,"photo_group=electrical_system; group_photo_count=52; spot_checked=20260410_013927,20260411_065030,20260324_004852,20260323_210944,20260408_211754,20260413_005435,20260405_234652,20260321_235600,20260317_235150",high,low,local_pk_or_on_hand
O-type Yellow Insulated Thimble/ Cable Lug 4mm (6mm hole) × 1,750,fiaz.com.pk,Y,Y,,,wiring_material,replace_or_procure,procured_or_on_hand,procured_or_on_hand,Evidence indicates purchased/received. | Migrated from Wiring row 50 into Parts inventory.,,,,,,Wiring,50,INV-0092,Done / On hand,0,status,BUY_NEW,high,"photo_group=electrical_system; group_photo_count=52; spot_checked=20260410_013927,20260411_065030,20260324_004852,20260323_210944,20260408_211754,20260413_005435,20260405_234652,20260321_235600,20260317_235150",high,low,local_pk_or_on_hand
PERMATEX 81150 DIE ELECTRIC TUNE UP GREASE 0.33 OZ,1288,Adenwalla & Sons,,COD,,,consumable_material,replace_or_procure,procured_or_on_hand,procured_or_on_hand,Evidence indicates purchased/received. | Migrated from Substances row 4 into Parts inventory.,,,,,,Substances,4,INV-0124,Done / On hand,0,status,BUY_NEW,medium,"photo_group=body_floor; group_photo_count=15; spot_checked=20260410_013927,20260411_065030,20260324_004852,20260323_210944,20260408_211754,20260413_005435,20260405_234652,20260321_235600,20260317_235150",high,low,local_pk_or_on_hand
Permatex Copper Anti Seize Lubricant Premium Quality in Pakistan,11000,Pakistan Power Tool,Y,Y,,,consumable_material,replace_or_procure,procured_or_on_hand,procured_or_on_hand,Evidence indicates purchased/received. | Migrated from Substances row 14 into Parts inventory.,,,,,,Substances,14,INV-0129,Done / On hand,0,status,BUY_NEW,medium,"photo_group=body_floor; group_photo_count=15; spot_checked=20260410_013927,20260411_065030,20260324_004852,20260323_210944,20260408_211754,20260413_005435,20260405_234652,20260321_235600,20260317_235150",high,low,local_pk_or_on_hand
Portable 12-Way Car Fuse Box Universal Automotive Box Holder with Led Indicator,4000,Mughal,Y,Y,,,wiring_material,replace_or_procure,procured_or_on_hand,procured_or_on_hand,Evidence indicates purchased/received. | Migrated from Wiring row 33 into Parts inventory.,,,,,,Wiring,33,INV-0081,Done / On hand,0,status,BUY_NEW,high,"photo_group=electrical_system; group_photo_count=52; spot_checked=20260410_013927,20260411_065030,20260324_004852,20260323_210944,20260408_211754,20260413_005435,20260405_234652,20260321_235600,20260317_235150",high,low,local_pk_or_on_hand
RAPTOR LINER TINTABLE STANDARD 3.8L KIT,39900,adenwalla,Y,Y,,,consumable_material,replace_or_procure,procured_or_on_hand,procured_or_on_hand,Evidence indicates purchased/received. | Migrated from Substances row 15 into Parts inventory.,,,,,,Substances,15,INV-0130,Done / On hand,0,status,BUY_NEW,medium,"photo_group=body_floor; group_photo_count=15; spot_checked=20260410_013927,20260411_065030,20260324_004852,20260323_210944,20260408_211754,20260413_005435,20260405_234652,20260321_235600,20260317_235150",high,low,local_pk_or_on_hand
Relay Box 12V 10 Way Relay Block and 10 Way ATC/ATO Blade Fuse Pane,37924,AliExpress,Y,Y,,,wiring_material,replace_or_procure,procured_or_on_hand,procured_or_on_hand,Evidence indicates purchased/received. | Migrated from Wiring row 28 into Parts inventory.,,,,,,Wiring,28,INV-0079,Done / On hand,0,status,BUY_NEW,high,"photo_group=electrical_system; group_photo_count=52; spot_checked=20260410_013927,20260411_065030,20260324_004852,20260323_210944,20260408_211754,20260413_005435,20260405_234652,20260321_235600,20260317_235150",high,high,import_cn_or_global
roof,existing,,Y,,body_and_weather_seal,refurbish_send_out,existing_component,restore_and_reuse,planned_refresh,reuse_existing,RR action=confirm_vendor_scope_and_return_condition; evidence=fj40-00133|fj40-00229|akber_khan-00796 | Retain roof refresh path with channel repair; replace only if repair scope fails.,✓,,,,,Restore_Replace,2,INV-0139,P5 - Later phase,5,manual_bodywork_update_2026_04_15,REFRESH_EXISTING,low,"photo_group=roof_and_gutters; group_photo_count=4; spot_checked=20260410_013927,20260411_065030,20260324_004852,20260323_210944,20260408_211754,20260413_005435,20260405_234652,20260321_235600,20260317_235150",high,low,local_pk_or_on_hand
ROST FLASH PRO,1365,adenwalla,Y,Y,,,consumable_material,replace_or_procure,procured_or_on_hand,procured_or_on_hand,Freeing bolts | Evidence indicates purchased/received. | Migrated from Substances row 13 into Parts inventory.,,,,,,Substances,13,INV-0128,Done / On hand,0,status,BUY_NEW,medium,"photo_group=body_floor; group_photo_count=15; spot_checked=20260410_013927,20260411_065030,20260324_004852,20260323_210944,20260408_211754,20260413_005435,20260405_234652,20260321_235600,20260317_235150",high,low,local_pk_or_on_hand
rubbers_and_seals,existing,,Y,,body_and_weather_seal,refurbish_service_subcomponents,existing_component,restore_and_reuse,existing_reuse,reuse_existing,RR action=service_mechanisms_and_rubbers_before_refit; evidence=akber_khan-00796|akber_khan-00797,✓,,,,,Restore_Replace,8,INV-0145,Done / On hand,0,status,REFRESH_EXISTING,low,"photo_group=rubbers_and_seals; group_photo_count=1; spot_checked=20260410_013927,20260411_065030,20260324_004852,20260323_210944,20260408_211754,20260413_005435,20260405_234652,20260321_235600,20260317_235150",high,low,local_pk_or_on_hand
Sanden-type compressor,re-use,,,,,,existing_component,restore_and_reuse,existing_reuse,reuse_existing,"Marked for re-use, not replacement purchase.",✓,,,,,Parts,8,INV-0007,Done / On hand,0,status,REFRESH_EXISTING,medium,"photo_group=engine_bay; group_photo_count=10; spot_checked=20260410_013927,20260411_065030,20260324_004852,20260323_210944,20260408_211754,20260413_005435,20260405_234652,20260321_235600,20260317_235150",high,low,local_pk_or_on_hand
Steelmate Central Locking System,4680,Autostore.pk,Y,Y,,,replacement_part,replace_or_procure,procured_or_on_hand,procured_or_on_hand,Evidence indicates purchased/received.,✓,,,,,Parts,7,INV-0006,Done / On hand,0,status,BUY_NEW,medium,"photo_group=documentation_reference; group_photo_count=5; spot_checked=20260410_013927,20260411_065030,20260324_004852,20260323_210944,20260408_211754,20260413_005435,20260405_234652,20260321_235600,20260317_235150",high,low,local_pk_or_on_hand
Toyota Land Cruiser FJ40 Neoprene Top Cover - Model 1960-1984,11500,Autozcare,Y,Y,,,replacement_part,replace_or_procure,procured_or_on_hand,procured_or_on_hand,Evidence indicates purchased/received.,✓,,,,,Parts,2,INV-0001,Done / On hand,0,status,BUY_NEW,medium,"photo_group=documentation_reference; group_photo_count=5; spot_checked=20260410_013927,20260411_065030,20260324_004852,20260323_210944,20260408_211754,20260413_005435,20260405_234652,20260321_235600,20260317_235150",high,low,local_pk_or_on_hand
Universal 4-inch Switch Panel 3pcs,4290,chaudhryautostore,Y,Y,,,wiring_material,replace_or_procure,procured_or_on_hand,procured_or_on_hand,Rocker Switches | Evidence indicates purchased/received. | Migrated from Wiring row 57 into Parts inventory.,,,,,,Wiring,57,INV-0097,Done / On hand,0,status,BUY_NEW,high,"photo_group=electrical_system; group_photo_count=52; spot_checked=20260410_013927,20260411_065030,20260324_004852,20260323_210944,20260408_211754,20260413_005435,20260405_234652,20260321_235600,20260317_235150",high,low,local_pk_or_on_hand
VMD Brake and Clutch Cleaner 400ML × 1,1840,ToolsMart.pk,Y,Y,,,consumable_material,replace_or_procure,procured_or_on_hand,procured_or_on_hand,Evidence indicates purchased/received. | Migrated from Substances row 19 into Parts inventory.,,,,,,Substances,19,INV-0133,Done / On hand,0,status,BUY_NEW,medium,"photo_group=engine_bay; group_photo_count=10; spot_checked=20260410_013927,20260411_065030,20260324_004852,20260323_210944,20260408_211754,20260413_005435,20260405_234652,20260321_235600,20260317_235150",high,low,local_pk_or_on_hand
VMD Unlocking Protective Lubricating Agent 200ML × 1,1060,ToolsMart.pk,Y,Y,,,consumable_material,replace_or_procure,procured_or_on_hand,procured_or_on_hand,Evidence indicates purchased/received. | Migrated from Substances row 18 into Parts inventory.,,,,,,Substances,18,INV-0132,Done / On hand,0,status,BUY_NEW,medium,"photo_group=body_floor; group_photo_count=15; spot_checked=20260410_013927,20260411_065030,20260324_004852,20260323_210944,20260408_211754,20260413_005435,20260405_234652,20260321_235600,20260317_235150",high,low,local_pk_or_on_hand
WD-40 Multi-Use Product Handy Can 200ml (Pack Of 3),2300,adenwalla,Y,Y,,,consumable_material,replace_or_procure,procured_or_on_hand,procured_or_on_hand,Evidence indicates purchased/received. | Migrated from Substances row 16 into Parts inventory.,,,,,,Substances,16,INV-0131,Done / On hand,0,status,BUY_NEW,medium,"photo_group=body_floor; group_photo_count=15; spot_checked=20260410_013927,20260411_065030,20260324_004852,20260323_210944,20260408_211754,20260413_005435,20260405_234652,20260321_235600,20260317_235150",high,low,local_pk_or_on_hand
window_hardware,existing,,Y,,body_and_weather_seal,refurbish_service_subcomponents,existing_component,restore_and_reuse,existing_reuse,reuse_existing,RR action=service_mechanisms_and_rubbers_before_refit; evidence=akber_khan-00796,✓,,,,,Restore_Replace,7,INV-0144,Done / On hand,0,status,REFRESH_EXISTING,low,"photo_group=window_hardware; group_photo_count=1; spot_checked=20260410_013927,20260411_065030,20260324_004852,20260323_210944,20260408_211754,20260413_005435,20260405_234652,20260321_235600,20260317_235150",high,low,local_pk_or_on_hand
windows,existing,,Y,,body_and_weather_seal,refurbish_send_out,existing_component,restore_and_reuse,planned_refresh,reuse_existing,RR action=confirm_vendor_scope_and_return_condition; evidence=akber_khan-00568|akber_khan-00796 | Glass/frame retained; inspect seals at final fit-up before buying replacements.,✓,,,,,Restore_Replace,4,INV-0141,P5 - Later phase,5,manual_bodywork_update_2026_04_15,REFRESH_EXISTING,low,"photo_group=window_hardware; group_photo_count=1; spot_checked=20260410_013927,20260411_065030,20260324_004852,20260323_210944,20260408_211754,20260413_005435,20260405_234652,20260321_235600,20260317_235150",high,low,local_pk_or_on_hand
Wire Insulation Heat Shrink Tubes,3999,,Y,Y,,,wiring_material,replace_or_procure,procured_or_on_hand,procured_or_on_hand,Evidence indicates purchased/received. | Migrated from Wiring row 102 into Parts inventory.,,,,,,Wiring,102,INV-0120,Done / On hand,0,status,BUY_NEW,high,"photo_group=electrical_system; group_photo_count=52; spot_checked=20260410_013927,20260411_065030,20260324_004852,20260323_210944,20260408_211754,20260413_005435,20260405_234652,20260321_235600,20260317_235150",high,low,local_pk_or_on_hand
Maximus Under Seat Subwoofer Box With Built in Amplifier - Compact Active Bass Woofer for Cars,25100,SehgalMotors.PK,,Cancelled?,revovate existing,,replacement_part,cancelled,cancelled,cancelled,Marked cancelled.,cancelled,,,,,Parts,3,INV-0002,Cancelled,99,status,CANCELLED,medium,"photo_group=documentation_reference; group_photo_count=5; spot_checked=20260410_013927,20260411_065030,20260324_004852,20260323_210944,20260408_211754,20260413_005435,20260405_234652,20260321_235600,20260317_235150",high,low,local_pk_or_on_hand
Universal Android LCD Tab 9 Inches With Wiring - Without Main Grip × 1,14600,"
]ehgalMotors.PK",,Cancelled?,,,replacement_part,cancelled,cancelled,cancelled,Marked cancelled.,cancelled,,,,,Parts,4,INV-0003,Cancelled,99,status,CANCELLED,high,"photo_group=electrical_system; group_photo_count=52; spot_checked=20260410_013927,20260411_065030,20260324_004852,20260323_210944,20260408_211754,20260413_005435,20260405_234652,20260321_235600,20260317_235150",high,low,local_pk_or_on_hand
